[ 2023-08-18 21:31:27,966 ] Using spritesheet cache size of 910
[ 2023-08-18 21:31:32,726 ] Asset loading complete
[ 2023-08-18 21:31:42,087 ] News query failed: "Unrecognized event news."
[ 2023-08-18 21:31:43,506 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-18 21:31:43,506 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-18 21:31:43,506 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-18 21:31:43,506 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-18 21:31:43,506 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-18 21:31:43,572 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-18 21:31:43,580 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 21:31:43,591 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 21:31:44,588 ] News query failed: "Unrecognized event news."
[ 2023-08-18 21:33:08,937 ] News query failed: "Unrecognized event news."
[ 2023-08-18 21:33:09,704 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-18 21:33:09,770 ] Disconnected from gameserver
[ 2023-08-18 21:33:10,107 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Testerman" )
[ 2023-08-18 21:33:10,109 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 21:33:10,121 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 21:33:11,071 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-18 21:34:18,838 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342239161 found"
[ 2023-08-18 21:34:23,204 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342239127 found"
[ 2023-08-18 21:36:13,905 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-18 21:36:14,955 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-18 21:36:15,022 ] Disconnected from gameserver
[ 2023-08-18 21:36:15,178 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-18 21:36:15,181 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 21:36:15,193 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 21:36:16,139 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-18 21:36:26,922 ] Retrying to obtain clipboard.
[ 2023-08-18 21:37:15,855 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-18 21:37:15,923 ] Disconnected from gameserver
[ 2023-08-18 21:37:15,983 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-18 22:14:39,296 ] Using spritesheet cache size of 910
[ 2023-08-18 22:14:40,950 ] Asset loading complete
[ 2023-08-18 22:14:49,162 ] News query failed: "Unrecognized event news."
[ 2023-08-18 22:14:50,214 ] BattlEye: "Initialized (v1.249)"
[ 2023-08-18 22:14:50,214 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-08-18 22:14:50,214 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-08-18 22:14:50,214 ] BattlEye: "Config entry: GameID tibia"
[ 2023-08-18 22:14:50,214 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-08-18 22:14:50,281 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-18 22:14:50,288 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 22:14:50,301 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 22:14:51,328 ] News query failed: "Unrecognized event news."
[ 2023-08-18 22:44:47,282 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-18 22:44:47,373 ] Disconnected from gameserver
[ 2023-08-18 22:46:25,568 ] News query failed: "Unrecognized event news."
[ 2023-08-18 22:46:25,946 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-18 22:46:25,949 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 22:46:25,960 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-18 22:46:26,901 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-18 22:46:58,665 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "The remote host closed the connection" )
[ 2023-08-18 22:46:58,741 ] Disconnected from gameserver
[ 2023-08-19 10:33:26,385 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:33:27,030 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:33:27,033 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:27,985 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:33:31,167 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 10:33:32,168 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:36,267 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 10:33:36,292 ] Disconnected from gameserver
[ 2023-08-19 10:33:37,562 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:33:37,567 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:38,501 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:33:41,668 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 10:33:42,667 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:46,767 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 10:33:46,774 ] Disconnected from gameserver
[ 2023-08-19 10:33:48,030 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:33:48,036 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:48,984 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:33:52,168 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"  was disconnected ( "Connection refused" )
[ 2023-08-19 10:33:53,168 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:54,409 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:33:55,070 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-08-19 10:33:55,072 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Fazendo-Tibia"
[ 2023-08-19 10:33:56,036 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-08-19 10:33:56,856 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
